userID,placeID,Rpayment,Rcuisine,hours,days,parking_lot,name,address,city,state,country,alcohol,smoking_area,dress_code,accessibility,price,area,rating,food_rating,service_rating,y/n,Rcuisine_customer,Upayment,smoker,drink_level,dress_preference,ambience,transport,marital_status,hijos,birth_year,interest,personality,religion,activity,color,weight,budget,height
U1001,135110,cash,Spanish,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;,public,Kiku Cuernavaca,Revolucion,Cuernavaca,Morelos,Mexico,No_Alcohol_Served,none,informal,no_accessibility,medium,closed,1,2,2,_,American,cash,FALSE,abstemious,informal,family,on foot,single,independent,1989,variety,thrifty-protector,none,student,black,69,medium,1.77
U1002,135110,VISA,Italian,00:00-23:30;,Sat;,none,puesto de tacos,esquina santos degollado y leon guzman,s.l.p.,s.l.p.,mexico,No_Alcohol_Served,none,informal,completely,low,open,2,1,1,_,Mexican,cash,FALSE,abstemious,informal,family,public,single,independent,1990,technology,hunter-ostentatious,Catholic,student,red,40,low,1.87
U1003,135110,MasterCard-Eurocard,Latin_American,00:00-23:30;,Sun;,none,El Rincón de San Francisco,Universidad 169,San Luis Potosi,San Luis Potosi,Mexico,Wine-Beer,only at bar,informal,partially,medium,open,2,2,2,_,Mexican,cash,FALSE,social drinker,formal,family,public,single,independent,1989,none,hard-worker,Catholic,student,blue,60,low,1.69
U1004,135110,American_Express,Mexican,08:00-19:00;,Mon;Tue;Wed;Thu;Fri;,none,little pizza Emilio Portes Gil,calle emilio portes gil,victoria ,tamaulipas,?,No_Alcohol_Served,none,informal,completely,low,closed,1,2,2,_,Bakery,cash,FALSE,abstemious,informal,family,public,single,independent,1940,variety,hard-worker,none,professional,green,44,medium,1.53
U1004,135110,bank_debit_cards,Fast_Food,00:00-00:00;,Sat;,none,carnitas_mata,lic. Emilio portes gil,victoria,Tamaulipas,Mexico,No_Alcohol_Served,permitted,informal,completely,medium,closed,1,1,2,_,Breakfast-Brunch,bank_debit_cards,FALSE,abstemious,no preference,family,public,single,independent,1992,none,thrifty-protector,Catholic,student,black,65,medium,1.69
U1004,135109,cash,Mexican,00:00-00:00;,Sun;,none,Restaurant los Compadres,Camino a Simon Diaz 155 Centro,San Luis Potosi,SLP,Mexico,Wine-Beer,none,informal,no_accessibility,high,closed,2,0,0,_,Japanese,cash,TRUE,social drinker,no preference,friends,car owner,single,independent,1989,variety,hard-worker,none,student,blue,75,medium,1.8
U1004,135107,cash,Burgers,08:00-21:00;,Mon;Tue;Wed;Thu;Fri;,none,Taqueria EL amigo ,Calle Mezquite Fracc Framboyanes,Cd Victoria,Tamaulipas,Mexico,No_Alcohol_Served,none,casual,completely,low,open,1,1,1,_,Contemporary,cash,FALSE,casual drinker,informal,solitary,public,single,independent,1989,variety,thrifty-protector,Catholic,student,purple,60,low,1.59
U1004,135107,VISA,Dessert-Ice_Cream,08:00-21:00;,Sat;,yes,shi ro ie,?,?,?,?,Wine-Beer,section,informal,no_accessibility,high,open,0,2,0,_,Mexican,cash,FALSE,social drinker,formal,solitary,public,single,independent,1989,technology,hard-worker,Catholic,student,green,68,low,1.72
U1004,135107,MasterCard-Eurocard,Fast_Food,08:00-21:00;,Sun;,valet parking,Pollo_Frito_Buenos_Aires,tampico,victoria,Tamaulipas,Mexico,No_Alcohol_Served,not permitted,informal,completely,low,closed,1,2,1,_,Bagels,cash,FALSE,abstemious,formal,family,on foot,single,kids,1991,variety,thrifty-protector,Catholic,student,green,75,medium,1.78
U1004,135107,American_Express,Hot_Dogs,00:00-23:30;,Mon;Tue;Wed;Thu;Fri;,valet parking,la Estrella de Dimas,Villa de Pozos 192 Villa de Pozos,San Luis Potosi,SLP,Mexico,No_Alcohol_Served,none,informal,no_accessibility,medium,closed,1,2,2,_,Cafe-Coffee_Shop,cash,FALSE,social drinker,no preference,friends,car owner,married,kids,1987,technology,hard-worker,none,student,green,40,medium,1.67
